	Tweet
28	 More than 80% of #lifesciences companies need more data on HCP-HCO relationships. Watch this video blog to learn more:  https://t.co/fz1Rum3Cdp #customerdata  https://t.co/NM3tbXJu8z
29	 Are you looking for ways to simplify and automate clinical operations processes to get medicine to patients faster? Hear how @AstraZeneca did it in this on-demand webinar.  https://t.co/dOl8GKaD6R  https://t.co/tnYsN3zLBJ
30	 Reducing the number of systems and integrations allows users to focus on their work, track key metrics, and analyze data in one place. Learn more about the benefits of unified, purpose-built #studystartup technology:  https://t.co/J32XmLihKk
31	 How can companies drive #CommercialExcellence in today’s digital environment? Veeva's VP of Business Consulting Dan Rizzo on 3 strategies reps can use to better meet the needs of their customers:   https://t.co/9GXzV8m9iE
32	 Want a global perspective of #customerdata trends in #lifesciences? Watch this video blog for a comparison of data survey findings across North America and Europe:  https://t.co/fz1Rum3Cdp #pharma
33	 Shionogi Europe's approach to implement Veeva Nitro allowed them to scale quickly and gain user adoption across regions. Dan Atkins explains how in this video:  https://t.co/VqQ5onB2aA  #dataanalytics #pharma
34	 Learn how effective collaboration can impact TMF quality and inspection readiness:  https://t.co/vl65TheCRE  https://t.co/6YAM9UpVlz
35	 Recent survey findings show that a unified clinical landscape is essential for improving trial quality and speed. Hear @AstraZeneca's approach and learnings from their journey to unifying clinical operations.  https://t.co/dOl8GKaD6R  https://t.co/cB92dYg3Bf
36	 Do you have visibility to #studystartup activities across countries and sites? Read our latest blog to learn how you can leverage modern technology to optimize study start-up processes.  https://t.co/J32XmLihKk
37	 25%-30% of total #clinicaltrial costs are attributed to #sitemonitoring, however, this can be streamlined with a risk-based approach. Read more in our latest blog:  https://t.co/OEu3fTNrgl  https://t.co/agvfxcwfLd
38	 86% of life sciences companies are creating more content now compared to six months ago. Speed up MLR and content creation with a modular approach. Read this guide to learn more:  https://t.co/5H7Skl7rjz    #pharmaceuticals #lifesciences #contentmarketing  https://t.co/hOGSCvCdXl
39	 Looking for ways to maximize HCP engagement this year? Veeva’s VP of Commercial Strategy Rob Steere shares 5 tips to improve rep productivity and customer experience:  https://t.co/9tk2wAIUBj #DigitalEngagement
40	 “Pandemic or no pandemic, remote engagement is here to stay.” Veeva’s EVP of Strategy Paul Shawah looks back on 2020 and how digital will create new levels of efficiency in the future.  https://t.co/6fnOYqXXEN #DigitalEngagement
41	 With an increase in #clinicaltrial complexity, effective collaboration between sponsors, CROs, and sites is crucial to speed trials:  https://t.co/vl65TheCRE  https://t.co/3kTlTXI6xl
42	 Watch Veeva's Jim Reilly discuss how trials will be fundamentally different in 2021 on #ACRPtv.  https://t.co/kOkEorFpGO via @ACRPDC
43	 Impel NeuroPharma partners with Veeva to ensure an efficient, compliant, and digital-first approach to commercialization.  https://t.co/iSBMox0EEL #VeevaCommercialCloud
44	 Emails between sales reps and HCPs increased by 600% last year. To support #digitaltransformation, you need accurate customer data. Learn how in this eBook:  https://t.co/SWvis7VWWW   #VeevaOpenData #pharma  https://t.co/DOfvF3JfUJ
45	 We expect to see the adoption of digital applications breakdown silos between #sponsors, #CROs, #sites, and #patients to improve #clinicaltrials. Take a look at our other predictions for 2021 here:  https://t.co/LZtidcDK3e
46	 Making decisions that are in line with employees and customers will help corporations have a greater impact in their industry. EVP of Strategy Paul Shawah on why Veeva made the move to become a #PublicBenefitCorporation.  https://t.co/F8gQB3iRaE
47	 Veeva becoming a #PublicBenefitCorporation makes it the legal duty of our board to balance the interests of all stakeholders for every important company decision and to pursue our public benefit purpose. Learn more in @OutsourcPharma.  https://t.co/23cOJRqEsY
48	 CRAs can now complete monitoring visit reports offline and automatically sync them back to Vault CTMS. Attend this short webinar to learn more:  https://t.co/jsCOZjFWwO  https://t.co/gMiajgD9Z3
49	 Learn how you can build a culture of collaboration and improve inspection readiness in this blog:  https://t.co/4sZOt2i4Mz  https://t.co/N5rxySyiVN
50	 Maintain and reuse institution, vendor, and investigator information across #eTMF, #CTMS, and #studystartup with the Vault Clinical Operations Global Directory. See how  https://t.co/W8nMTdf4Hf
51	 Veeva becoming a #PublicBenefitCorporation makes it the legal duty of our board to balance the interests of stakeholders for every important company decision and pursue our public benefit purpose. Learn more about what becoming a PBC in @OutsourcPharma.  https://t.co/SsAEFbFWuT
52	 As the industry adopts more digital workflows and applications, we believe we will see more life-changing medicines delivered to patients. Learn more about accelerated drug development and other industry trends here:  https://t.co/LZtidcDK3e
53	 Large corporations can’t just focus on shareholder returns anymore, but also understand their impact to society. Read #CEO Peter Gassner’s article to learn more about the #PublicBenefitCorporation structure.  https://t.co/XMURPi0Ml4  #ESG  https://t.co/SB7HweDhOz
54	 @AstraZeneca set out to eliminate using spreadsheets and emails to track and share data. Watch this on-demand session to hear how their operational process improvements also transformed the end-user experience for their staff.  https://t.co/dOl8GKaD6R  https://t.co/wqeKuEFTO6
55	 5 steps to drive collaboration across your TMF and improve inspection readiness. Learn more:  https://t.co/4sZOt2i4Mz #clinicaltrials  https://t.co/Zei2tkfLJh
56	 Learn how the Vault Clinical Operations Global Directory enables document reuse across studies, making teams more efficient. Watch now:  https://t.co/W8nMTdf4Hf
57	 CEO Peter Gassner believes large companies also have a duty to serve society, not just shareholders. Read his opinion on #CSR &amp; #PublicBenefitCorporation to learn more.  https://t.co/XMURPi0Ml4  https://t.co/xRCxn2zeMR
58	 As the #clinicaltrial pipeline becomes more complex, collaboration is key to managing your TMF. Learn more:  https://t.co/vl65TheCRE  https://t.co/4RMWelnHJ8
59	 The need for corporate responsibility has never been more clear. Read #CEO Peter Gassner’s article to learn why we need to move to a form of capitalism where corporations aren’t only about the money.  https://t.co/XMURPi0Ml4 #PublicBenefitCorporation  https://t.co/7Yq9TPvJdF
60	 In response to #COVID19, we saw the #lifesciences industry swiftly adopt digital clinical applications to speed drug development. See the operating models experts predict will emerge throughout 2021.  https://t.co/LZtidcDK3e
61	 @AstraZeneca recently joined us for a fireside chat to discuss their change management techniques to effectively deploy Vault CTMS. Listen on-demand to hear about the operational process improvements they saw after unifying their clinical operations suite.  https://t.co/dOl8GKaD6R  https://t.co/hBuvC9m8h0
62	 Excel trackers aren’t efficient for managing study start-up milestones. Select purpose-built study start-up technology to simplify the end-user and IT experience. Learn more  https://t.co/J32XmLihKk
63	 Hear how @SanofiUS evolved its omnichannel strategy to meet the needs of HCPs.  https://t.co/Wtyc2QDzmG #pharma #VeevaMultichannelCRM  https://t.co/XhRCfjFuar
64	 CEO Peter Gassner is passionate that corporations need to serve society, not just shareholders. Read more to learn about the #PublicBenefitCorporation structure.  https://t.co/XMURPi0Ml4 #ESG  https://t.co/Mcpjs1Ma21
65	 Learn how to simplify trip reports in less than 30 minutes. Join us, along with @onthemovesoftware, to see how you can shorten the amount of time needed for visit write-ups.  https://t.co/jsCOZjFWwO  https://t.co/ZYVh01L1A4
66	 How can we make #CRAs more efficient in the post-COVID era? @LaurenGarson shares how implementing a risk-based monitoring strategy can help.  https://t.co/OEu3fTNrgl  https://t.co/U4d5D0ONLz
67	 Poor quality data costs the US economy an average of $3.1T every year. Creating a #datadriven culture requires accurate and comprehensive #customerdata. Learn four best practices for becoming a data-led company:  https://t.co/rg1im7Ared  #lifesciences  https://t.co/UzV8rURwIP
68	 CEO Peter Gassner discusses how Veeva is helping the industry improve efficiency and speed in the time of #COVID19 and why doing good for customers and employees is good for business on @CNBC.  https://t.co/ZmPoLabDQh #PublicBenefitCorporation  https://t.co/V7ibh5i205
69	 Achieve faster #clinicaltrials and maintain inspection readiness with effective TMF collaboration.  https://t.co/5QAlpfirJW  https://t.co/Nqim13Ovsc
70	 Are you looking for ways to make monitoring easier and more efficient for your #CRAs? Attend this 30-minute webinar to learn how CRAs can fill out trip reports offline. Register now:  https://t.co/jsCOZjFWwO  https://t.co/CwS4J8FjVk
71	 As a #PublicBenefitCorporation, Veeva’s legal charter will align with its customers’ long-term mission to advance human health and wellbeing, and create high-quality employment opportunities in the communities it serves.  https://t.co/IgCkZeThMz #StakeholderCapitalism #NowHiring  https://t.co/jpdAe6eXKe
72	 Emails between sales reps and HCPs increased by 600% last year. To support #digitaltransformation, you need accurate customer data. Learn how in this eBook:  https://t.co/SWvis7VWWW   #VeevaOpenData #pharma  https://t.co/66kzDm0sYU
73	 72% of #clinicaltrials will be outsourced by the end of 2021. Find out why collaboration is key to TMF quality in this blog:  https://t.co/5QAlpfirJW  https://t.co/0ueBlM9cCx
74	 What new #clinicaloperations innovations you predict to see in 2021? Veeva experts expect to see a continuation of digital adoption and collaboration. See more here:  https://t.co/LZtidcDK3e
75	 We’re making #Boston our new #engineering hub for clinical trials software. Join a mission-driven company focused on the #lifesciences industry, employee success, and the community.  https://t.co/oZEeccAkdP via @BostonGlobe #NowHiring  https://t.co/l73ixsaURO
76	 Need to create commercial content faster while remaining compliant? Find out why modular content is a trend to look out for in Veeva's list of 2021 predictions:  https://t.co/frugy3h7SF
77	 Accurate #customerdata is critical for accelerating #digitaltransformation. Read this blog to learn how it can support your shift to digital. #hcpdata #lifesciences   https://t.co/57gzNq3LnU
78	 It is time to shift from paper and manual to digital and automated in #clinicaltrials. Learn why on #ACRPtv.  https://t.co/YDCrYBcopR via @ACRPDC #lifesciences
79	 Custom functions place a huge burden on data management teams and introduce risk when copying from one study to another. Veeva's Dan Crawford explains how Vault EDC reduces custom functions by 90%:  https://t.co/v9PBPAQ6r1  https://t.co/sPP9VJ0rr2
80	 What does the future hold for the #lifesciences industry this year? See Jim Reilly, VP, Vault R&amp;D, predictions here:  https://t.co/LZtidcDK3e
81	 Is your customer reference data accurate, comprehensive, and proactively updated? Assess your data provider’s solution with this checklist. #customerdata #pharma   https://t.co/EcspAqpcWY
82	 Complete customer data and responsive data stewards are key to effective HCP engagement. See more findings from the 2020 NA Customer Reference Data Survey.  Get the infographic &amp; report here:  https://t.co/EjNJsefAaa  #pharma #lifesciences  https://t.co/LV4iU1DWm5
83	 Sponsors, CROs, and sites are entering an era in which clinical development will be much more connected, digital, and streamlined, via @ACRPDC   https://t.co/Rw5NLQ9uwU
84	 Veeva will add 200 software engineers in the next 18 months in #Boston. Join a team focused on driving innovation and speed for clinical trials. Learn more in @BostonGlobe:  https://t.co/oZEeccAkdP   #NowHiring #SoftwareEngineering  https://t.co/5T0xZyVBWf
85	 As a #PublicBenefitCorporation, Veeva is aligning with the industry’s mission so customers have confidence to partner with us for the long-term. In doing so, we are helping customers be more productive to bring medicines to patients faster.  https://t.co/SsAEFbFWuT
86	 As a #PublicBenefitCorporation, Veeva remains focused on helping the industry be more effective and efficient.  https://t.co/StiuZJh4ts via @PM360online  https://t.co/igW5SHRGvO
87	 As a #PublicBenefitCorporation, Veeva is aligning with the industry’s mission so customers have confidence to partner with us for the long-term. In doing so, we are helping customers be more productive to bring medicines to patients faster.  https://t.co/SsAEFbFWuT
88	 A #ModularContent strategy drives value across your organization and supports faster and scalable commercial content creation. Learn how:  https://t.co/w9a76hVRaz #pharma #lifesciences #digitalcontent
89	 Streamline case processing and management with a unified #pharmacovigilance solution.  https://t.co/Kv9U5k4myY  https://t.co/PLKQfFDMjx
90	 Learn why @parkerici adopted a new #EDC and their strategies to handle challenges #oncology teams face when building studies  https://t.co/IrlnCpJVoH  https://t.co/5b5nEcD9QG
91	 Need to create commercial content faster while remaining compliant? Find out why modular content is a trend to look out for in Veeva's list of 2021 predictions:  https://t.co/frugy3h7SF
92	 See how the Vault Clinical Operations Suite global directory and investigator database eliminates Excel trackers and enables document reuse, driving trial efficiencies.  https://t.co/jftOL6o6Wi  https://t.co/B6bDPnFLfs
93	 $15M is the average annual cost of bad data. Learn how to respond proactively by setting the right foundations for a data-driven culture. Get the eBook:  https://t.co/SWvis7VWWW   #VeevaOpenData #pharma  https://t.co/5l7Sqvroy0
94	 Almost all sponsors and CROs report a need to unify their clinical applications, and most respondents (83%) now have initiatives planned or underway. Read the report to understand the industry’s drivers behind this change:  https://t.co/QLCB9dYaUI  https://t.co/ZVcV4ZqFjL
95	 As digital channels are accelerating, discover how Roche, Merck KGaA, and LEO Pharma are using combined MLR and DAM to deliver more personalized and impactful content, faster than ever. Read the blog now.  https://t.co/Wp0ofvekvI
96	 Veeva's VP of Vault R&amp;D Jim Reilly joins #ACRPtv to discuss why it is critically important to improve information sharing in clinical trials. Watch the full episode here.  https://t.co/kOkEorFpGO via @ACRPDC #clinicaltrials
97	 Veeva SVP and general counsel Josh Faddis speaks with Christopher Marquis on the #PublicBenefitCorporation conversion process and the significance of Veeva’s move on the #lifesciences industry.  https://t.co/rrwh88hT2D via @bcorpuscan  https://t.co/2oCwXacs1H
98	 Veeva SVP and general counsel Josh Faddis speaks with @CMarquisCornell on the #PublicBenefitCorporation conversion process and significance of Veeva’s move on the #lifesciences industry.  https://t.co/rrwh88hT2D via @bcorpuscan
99	 It's been over a year since the first U.S. #COVID-19 diagnosis. See how the virus has impacted health and media behaviors in 2020 in our latest infographic.  https://t.co/eIYrLVILBN  #pharmamarketing #biopharma #healthcaremarketing  https://t.co/eCLAXX9Kr2
100	 Take control of your data. Get ahead of the competition by accelerating your #digitaltransformation journey. Learn how:  https://t.co/qGmF7nJ35l   #VeevaOpenData #pharma  https://t.co/f12cXdiQIm
101	" ""If your digital #DTC campaign is driving patients to request a brand and #HCPs don’t have the background information to conduct a dialogue about the treatment, the effectiveness of the DTC campaign can be undermined"" - Sarah Caldwell in @PM360online.  https://t.co/SDUQbvzeh9  https://t.co/ePQ56SfLvj"
102	 A #ModularContent strategy drives value across your organization and supports faster and scalable commercial content creation. Learn how:  https://t.co/w9a76hVRaz #pharma #lifesciences #digitalcontent
103	 Veeva EVP of strategy Paul Shawah to @PM360online: “We’ve always operated with the industry’s best interest at heart…we wanted to align how we were operating with our official articles of incorporation.” Read about our transition to a PBC:  https://t.co/StiuZJh4ts
104	" ""More than 48% of sponsors are using purpose-built CTMS to manage governance and oversight. Are you ensuring proper oversight of your outsourced #clinicaltrials?  https://t.co/xq0gkL8TwL  https://t.co/0tLPKyZBlq"
105	 Sponsors, CROs, and sites are entering an era in which clinical development will be much more connected, digital, and streamlined, via @ACRPDC   https://t.co/Rw5NLQ9uwU
106	 Custom functions place a huge burden on data management teams and introduce risk when copying from one study to another. Veeva's Dan Crawford explains how Vault EDC reduces custom functions by 90%:  https://t.co/v9PBPAQ6r1  https://t.co/pRxyrVjtK9
107	 Learn why PICI adopted a new #EDC and their strategies to handle challenges #oncology teams face when building studies  https://t.co/IrlnCpJVoH
108	 $15M is the average annual cost of bad data. Learn how to respond proactively by setting the right foundations for a data-driven culture. Get the eBook:  https://t.co/SWvis7VWWW   #VeevaOpenData #pharma  https://t.co/yIcvFMDqyH
109	 Eliminate silos and drive end-to-end #safety processes with a unified #pharmacovigilance solution. Learn how:   https://t.co/Kv9U5k4myY  https://t.co/90aAQEHQMu
110	 How did Novo Nordisk operationalize their content strategy? Find out how they partner with Veeva to bring their content vision to life and map out their strategic direction. Watch the video now  https://t.co/SLLkk5GpFa #pharma #ContentStrategy #DigitalContent
111	 We are dedicated to the #lifesciences industry’s mission of advancing human health and wellbeing. As a #PublicBenefitCorporation, Veeva is doubling-down on that commitment.  https://t.co/7vODXGEZHR #CustomerSuccess  https://t.co/xOb8lxVQvR
112	 Custom functions place a huge burden on data management teams and introduce risk when copying from one study to another. Veeva's Dan Crawford explains how Vault EDC reduces custom functions by 90%:  https://t.co/v9PBPAQ6r1
113	 See how the Vault Clinical Operations Suite global directory and investigator database eliminates Excel trackers and enables document reuse, driving trial efficiencies.  https://t.co/jftOL6o6Wi  https://t.co/9b45d0rfxS
114	 New inbound engagement channels will change the way HCPs interact with #lifesciences companies this year. Learn more about 2-way engagement and other 2021 trends here:  https://t.co/7loZGPKaSA  https://t.co/xCROdhHqXJ
115	 Learn how you can move from a fragmented to a unified #pv solution to improve oversight and reduce risk of adverse events.  https://t.co/8eCIdFlT4R  https://t.co/00H9A5Mr4Z
116	 How does #pharma optimize their investment in #biotechnology, data, and content to ensure new drug launch success? Join us on Jan 21 to get the answers. #lifesciences  https://t.co/1fYKsYmPfJ  https://t.co/w1W1ULrH0X
117	 As the first and largest-ever public company to convert to a #PublicBenefitCorporation, we will focus on driving success for customers, employees, and shareholders over the long-term.  https://t.co/7vODXGEZHR  https://t.co/oiazn1WFLH
118	 Join this webinar to develop best practices and checklists that can be applied across any size organization to ensure efficient clinical trials.  https://t.co/jJhOWhOPoF #ClinicalTrials #ClinicalResearch #VeevaEDC  https://t.co/pBCDmxOlOF
119	 Join @clinlogix as they discuss how cloud technologies are helping #pharmacovigilance teams collaborate and maintain visibility and traceability in outsourced trials: https://t.co/RDdsc2awPC
120	 Veeva among @flexjobs top companies hiring for #remotejobs in 2021! We're always looking for passionate, driven, dedicated people.  https://t.co/PLY8zCbi6d #NowHiring #Sales #Engineering
121	 Becoming a #publicbenefitcorporation aligns with our core values of do the right thing, customer success, and employee success.  https://t.co/7vODXGEZHR   #StakeholderCapitalism #NowHiring  https://t.co/lOHzB5tr09
122	 Learn best practices to achieve a unified ecosystem for management and execution of clinical trials from @AstraZeneca next week:  https://t.co/CjM3dJ2Zqi
123	 CEO Peter Gassner discuss how Veeva is helping the industry improve efficiency and speed in the time of #COVID19 and why doing good for customers and employees is good for business on @CNBC with @MorganLBrennan.  https://t.co/ZmPoLabDQh #PublicBenefitCorporation  https://t.co/pMSaNDa7bI
124	 Evaluating a #PV solution? Here are 9 key considerations #pharmacovigilance teams examine when evaluating new safety solutions.  https://t.co/sAz89f2fZX  https://t.co/vDM6ZTW6Ny
125	 Veeva CEO: “We’ve always operated in the best interests of our customers, employees, communities, and shareholders.” Learn more about our conversion to a #publicbenefitcorporation.  https://t.co/7vODXGEZHR #CustomerSuccess #NowHiring  https://t.co/krPwBgMa4u
126	 CEO Peter Gassner shares w/ @MorganLBrennan how Veeva becoming more essential to #lifesciences as it races to help patients during COVID-19 &amp; why converting to #PublicBenefitCorporation aligns its purpose w/ customers, employees, society for decades.  https://t.co/ZmPoLabDQh @CNBC  https://t.co/QywTsIg5lH
127	 Shionogi selected, implemented, and adopted their commercial data management solution to allow for continued success and #digitaltransformation. Read how:  https://t.co/4ECjiTjZQW   #VeevaNitro #pharma
128	 What four critical factors drive a successful drug launch? Gain best practices for your digital-first launch strategy from our #pharma experts at our Jan 21 webinar  https://t.co/1fYKsYmPfJ #biotechnology #lifesciences  https://t.co/qSGvAX4y6i
129	 We believe that doing the right thing for customers and employees is ultimately good for business. Read the full story on Veeva’s conversion to a #publicbenefitcorporation.  https://t.co/7vODXGEZHR #CustomerSuccess #NowHiring
130	 As digital channels are accelerating, discover how Roche, Merck KGaA, and LEO Pharma are using combined MLR and DAM to deliver more personalized and impactful content, faster than ever. Read the blog now.  https://t.co/Wp0ofvekvI
131	 Veeva becoming a #PublicBenefitCorporation sets up company structure to establish long-term leadership for decades to come and achieve its vision of building the industry cloud for #lifesciences.  https://t.co/7vODXGEZHR  https://t.co/xeftpqPpEr
132	 Veeva is proud to be the first publicly traded company and largest ever to convert to a #publicbenefitcorporation. Aligning our purpose and charter will give customers confidence to partner with Veeva long-term and help us attract world-class talent.  https://t.co/7vODXGEZHR  https://t.co/rvlpq4jMbz
133	 Learn how you can move from a fragmented to a unified #pv solution to improve oversight and reduce risk of adverse events.   https://t.co/Kv9U5k4myY  https://t.co/TZpv2cmxMT
134	 Learn best practices and learnings from @AstraZeneca's journey through the transformation of their clinical operations. Register here:  https://t.co/zd3a9gH5tR
135	 How does #pharma optimize their investment in #biotechnology, data, and content to ensure new drug launch success? Join us on Jan 21 to get the answers. #lifesciences  https://t.co/1fYKsYmPfJ  https://t.co/baUvPCqO9e
136	 #Sponsors and #CROs are taking action to unify their clinical systems and processes to increase efficiency, quality, and speed in #clinicaltrials. Read the report to see the industry’s top drivers and challenges.  https://t.co/QLCB9dYaUI  https://t.co/1tRgMaJGGH
137	 What does the future hold for #lifesciences this year? Here are Veeva's 2021 predictions from our panel of industry experts.  https://t.co/frugy3h7SF
138	 What four critical factors drive a successful drug launch? Gain best practices for your digital-first launch strategy from our #pharma experts at our Jan 21 webinar  https://t.co/1fYKsYmPfJ #biotechnology #lifesciences  https://t.co/QMpQJZMAyW
139	 What does the future hold for #lifesciences this year? Here are Veeva's 2021 predictions from our panel of industry experts.  https://t.co/frugy3h7SF
140	 #Covid19 has accelerated industry efforts to adopt new and more effective business models to mitigate delays and challenges. Read more in the Veeva 2020 Unified Clinical Operations Survey Report:  https://t.co/QLCB9dYaUI  https://t.co/Vt0jBASltK
141	 What can pharmaceutical marketers do now to effectively engage their audiences, and what should they be thinking of next? Find out in this new whitepaper released by @IntouchG and @DHC.  https://t.co/EmxsWi96Hp
142	 Join us on January 20 to hear about how #pharmaceutical companies and vendors are collaborating and simplifying #pv processes with modern technologies:  https://t.co/RDdsc2awPC @clinlogix  https://t.co/TPEgoj2ggZ
143	 Looking for a #pv solution that eliminates costly upgrades and provides better control for your organization? Here are 9 things to consider as you evaluate safety solutions:  https://t.co/sAz89f2fZX  https://t.co/KOvLShYrxE
144	 According to @PharmExec new article, remote selling is here to stay. Learn about all of the positive changes in the past year as #digital engagement becomes essential to connecting reps to their HCPs:  https://t.co/S6DHbGgTYm  #biotechnology #pharma  https://t.co/YJipbitS1m
145	 Learn best practices and learnings from @AstraZeneca's journey through the transformation of their clinical operations. Register here:  https://t.co/zd3a9gH5tR
146	 Bring your friends or family for some outdoor fun this New Year's Eve day in Boston! Stop by Veeva's 7ft. Happy New Year ice sculpture and pick up some goodies. Our sculpture will be at 121 Seaport Blvd. across from the Seaport Common. Learn more:  https://t.co/vZwquCx0WN.
147	 .@AstraZeneca will share their strategic vision and journey to transform #clinicaloperations – from enhancing ways of working, to redefining #clinicaltrials, and reimagining #healthcare. Learn their story January 21:  https://t.co/zd3a9gH5tR
148	 Since February, the number of virtual meetings has increased nine times, as #biopharma companies connected with hundreds of thousands of HCPs online. Learn about the positive changes of an “opened door” for digital engagement:   https://t.co/S6DHbGgTYm via @PharmExec #lifesciences  https://t.co/EGrQZNKnPW
149	 The #pharma rep relationship with HCPs is key to driving digital adoption, making the role of the rep more important than ever. Read “The New Virtual Engagement Reality” from @PharmaVoice to learn more:  https://t.co/t0HRJsRe0b #HCPengagement #digitalexcellence
